"id","productName","productDescription","price"
1,"Arroz Integral","Arroz integral de alta calidad para comidas saludables",2.99
2,"Aceite de Oliva Extra Virgen","Aceite de oliva extra virgen para cocinar y aderezar",7.99
3,"Tomates Frescos","Tomates frescos y jugosos para ensaladas y salsas",1.99
4,"Queso Parmesano","Queso parmesano auténtico para dar sabor a tus platos",5.99
5,"Filete de Salmón Fresco","Filete de salmón fresco y saludable para asar o cocinar",8.99
6,"Leche Orgánica","Leche orgánica fresca de granjas locales",3.99
7,"Miel de Abeja Pura","Miel de abeja 100% pura y natural",4.99
8,"Pan Integral","Pan integral recién horneado para bocadillos saludables",2.49
9,"Huevos Orgánicos","Huevos orgánicos de gallinas felices",3.49
10,"Mermelada de Fresa","Mermelada casera de fresa para tus tostadas",3.29
11,"Café Gourmet","Café gourmet de origen único para amantes del café",9.99
12,"Cereales Multigrano","Cereales multigrano ricos en fibra y nutrientes",4.79
13,"Pechuga de Pollo","Pechuga de pollo magra para platos saludables",6.99
14,"Manzanas Gala","Manzanas Gala frescas y crujientes",1.79
15,"Pasta de Trigo Integral","Pasta de trigo integral para platos deliciosos",2.69
16,"Yogur Griego Natural","Yogur griego natural rico en proteínas",1.99
17,"Aguacates Hass","Aguacates Hass maduros y deliciosos",2.29
18,"Café Descafeinado","Café descafeinado suave y aromático",7.49
19,"Almendras Crudas","Almendras crudas para un bocadillo saludable",5.49
20,"Sopa de Tomate Casera","Sopa de tomate casera para calentarte en días fríos",3.99

